State,SLat,SLong,SCases,SMag
"Alabama, USA",32.31823,-86.902298,83782,0.83782
"Alaska, USA",66.160507,-153.369141,3440,0.0344
"Arizona, USA",34.048927,-111.093735,168000,1.68
"Arkansas, the US",34.799999,-92.199997,40968,0.40968
"California, the USA",36.778259,-119.417931,488000,4.88
"Colorado, USA",39.113014,-105.358887,45885,0.45885
"Connecticut, the US",41.599998,-72.699997,49540,0.4954
"Delaware, the US",39,-75.5,14602,0.14602
"Florida, USA",27.994402,-81.760254,451000,4.51
"Georgia, the USA",33.247875,-83.441162,164000,1.64
"Hawaii, USA",19.741755,-155.844437,1842,0.01842
"Idaho, USA",44.068203,-114.742043,19810,0.1981
"Illinois, the US",40,-89,177000,1.77
"Indiana, USA",40.273502,-86.126976,65918,0.65918
"Iowa, the USA",42.032974,-93.581543,43623,0.43623
"Kansas, the US",38.5,-98,27177,0.27177
"Kentucky, USA",37.839333,-84.27002,29479,0.29479
"Louisiana, USA",30.39183,-92.329102,113000,1.13
"Maine, the USA",45.367584,-68.972168,3866,0.03866
"Maryland, USA",39.045753,-76.641273,86846,0.86846
"Massachusetts, USA",42.407211,-71.382439,117000,1.17
"Michigan, USA",44.182205,-84.506836,89026,0.89026
"Minnesota, USA",46.39241,-94.63623,52987,0.52987
"Mississippi, the US",33,-90,55804,0.55804
"Missouri, USA",38.573936,-92.60376,47683,0.47683
"Montana, USA",46.96526,-109.533691,3695,0.03695
"Nebraska, the US",41.5,-100,25547,0.25547
"Nevada, USA",39.876019,-117.224121,45937,0.45937
"New Hampshire, the US",44,-71.5,6513,0.06513
"New Jersey, USA",39.833851,-74.871826,182000,1.82
"New Mexico, USA",34.307144,-106.018066,20136,0.20136
"New York, the US",43,-75,418000,4.18
"North Carolina, USA",35.782169,-80.793457,118000,1.18
"North Dakota, USA",47.650589,-100.437012,6231,0.06231
"Ohio, USA",40.367474,-82.996216,87893,0.87893
"Oklahoma, the USA",36.084621,-96.921387,34605,0.34605
"Oregon, the US",44,-120.5,17805,0.17805
"Pennsylvania, USA",41.203323,-77.194527,115000,1.15
"Rhode Island, the US",41.700001,-71.5,18800,0.188
"South Carolina, USA",33.836082,-81.163727,85846,0.85846
"South Dakota, the US",44.5,-100,8641,0.08641
"Tennessee, USA",35.860119,-86.660156,98000,0.98
"Texas, the USA",31,-100,422000,4.22
"Utah, USA",39.41922,-111.950684,39229,0.39229
"Vermont, the USA",44,-72.699997,1406,0.01406
"Virginia, USA",37.926868,-78.024902,87993,0.87993
"Washington State, the USA",47.751076,-120.740135,57300,0.573
"West Virginia, the US",39,-80.5,6326,0.06326
"Wisconsin, the USA",44.5,-89.5,55119,0.55119
"Wyoming, USA",43.07597,-107.290283,2628,0.02628